danceability,energy,speechiness,valence,mode,acousticness
0.509,0.542,0.442,0.151,0,0.019
0.789,0.727,0.126,0.343,1,0.123
0.867,0.744,0.228,0.645,0,0.268
0.722,0.576,0.0473,0.339,0,0.447
0.875,0.814,0.043,0.695,1,0.0827
0.757,0.488,0.0425,0.385,1,0.508
0.797,0.659,0.173,0.179,0,0.0123
0.861,0.71,0.165,0.962,0,0.041
0.517,0.756,0.0397,0.684,1,0.0922
0.668,0.799,0.0333,0.563,1,0.00305
0.585,0.52,0.0712,0.129,0,0.124
0.795,0.574,0.487,0.537,0,0.067
0.705,0.636,0.157,0.507,0,0.00596
0.778,0.518,0.182,0.731,1,0.0246
0.806,0.546,0.0575,0.874,1,0.3
0.604,0.517,0.378,0.515,1,0.404
0.612,0.66,0.0884,0.283,1,0.158
0.68,0.825,0.0702,0.784,1,0.00173
0.727,0.822,0.0492,0.743,0,0.051
0.61,0.722,0.0496,0.467,1,0.0676
0.812,0.904,0.0862,0.613,1,0.155
0.825,0.614,0.0301,0.744,0,0.339
0.796,0.762,0.056,0.79,1,0.021
0.719,0.704,0.0476,0.628,1,0.0691
0.805,0.826,0.0488,0.601,0,0.101
0.733,0.859,0.033,0.52,0,0.479
0.65,0.639,0.0564,0.678,1,0.0158
0.778,0.559,0.0776,0.678,0,0.128
0.754,0.384,0.0917,0.842,1,0.264
0.678,0.812,0.049,0.566,0,0.0334
0.903,0.327,0.0877,0.274,1,0.26
0.472,0.916,0.044,0.733,0,0.000488
0.779,0.769,0.104,0.463,1,0.0119
0.65,0.672,0.148,0.387,1,0.447
0.824,0.854,0.177,0.896,1,0.016
0.588,0.741,0.0323,0.939,0,0.238
0.763,0.718,0.029,0.858,0,0.0579
0.83,0.706,0.137,0.92,1,0.0818
0.822,0.743,0.28,0.636,0,0.016
0.759,0.87,0.0311,0.626,1,0.00578
0.464,0.473,0.129,0.604,1,0.866
0.797,0.791,0.0432,0.589,1,0.000679
0.744,0.448,0.433,0.924,0,0.295
0.733,0.86,0.12,0.599,0,0.102
0.687,0.767,0.136,0.541,0,0.144
0.838,0.782,0.0336,0.974,0,0.117
0.63,0.821,0.0971,0.931,1,0.0841
0.679,0.882,0.0373,0.797,1,0.000806
0.715,0.827,0.0617,0.75,0,0.0485
0.592,0.874,0.0449,0.964,0,0.000259
0.842,0.758,0.112,0.497,0,0.00393
0.776,0.78,0.128,0.666,0,0.0622
0.764,0.32,0.0546,0.575,1,0.837
0.609,0.757,0.119,0.379,1,0.299
0.646,0.551,0.0268,0.407,0,0.222
0.817,0.669,0.0588,0.877,0,0.366
0.706,0.69,0.0395,0.906,0,0.0184
0.303,0.461,0.0399,0.227,0,0.0901
0.634,0.911,0.104,0.794,0,0.0104
0.792,0.512,0.0408,0.11,1,0.13
0.488,0.615,0.0295,0.686,1,0.034
0.949,0.625,0.113,0.583,1,0.00467
0.571,0.672,0.0602,0.181,0,0.0095
