position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,key,URL
36,Adore You,Harry Styles,0.676,0.771,0.0483,0.569,1,0.0237,99.048,207133,-3.675,8,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
37,Ride It,Regard,0.88,0.751,0.0874,0.884,0,0.177,117.948,157606,-4.258,7,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
38,If the World Was Ending - feat. Julia Michaels,JP Saxe,0.464,0.473,0.129,0.604,1,0.866,75.801,208687,-10.086,1,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
39,RITMO (Bad Boys For Life),Black Eyed Peas,0.721,0.716,0.0657,0.667,0,0.0334,104.994,221714,-7.037,10,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
40,Loud,Dubio,0.529,0.758,0.3,0.261,1,0.039,180.026,190000,-6.297,1,https://open.spotify.com/track/362CZbgsmoebwBM77B3a0N
41,Keine Liebe,RIN,0.802,0.8,0.0412,0.567,0,0.134,104.062,198080,-5.034,0,https://open.spotify.com/track/4OVF6uwZlMOSlZmHDnwliX
42,Close Your Eyes,Felix Jaehn,0.818,0.823,0.2,0.52,0,0.0663,128.136,160794,-3.563,11,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
43,everything i wanted,Billie Eilish,0.704,0.225,0.0994,0.243,0,0.902,120.006,245426,-14.454,6,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
44,stupid,Tate McRae,0.673,0.579,0.0392,0.262,0,0.0692,96.009,172916,-6.029,0,https://open.spotify.com/track/4k3uABcX9iaGlt5pRJhumi
45,hot girl bummer,blackbear,0.778,0.559,0.0776,0.678,0,0.128,129.989,185093,-7.109,6,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
46,Himmel grau,Kontra K,0.495,0.619,0.154,0.141,0,0.381,93.513,176229,-5.989,4,https://open.spotify.com/track/1xdj09kwlmFmVONYaYyNsY
47,Videoüberwacht,Airon,0.482,0.754,0.47,0.67,0,0.111,85.949,198007,-7.051,4,https://open.spotify.com/track/06DUS5j3cxk6Y9pDbPZxBi
48,1000x COOLER,TJ_beastboy,0.906,0.528,0.108,0.68,1,0.0982,120.055,147000,-7.668,2,https://open.spotify.com/track/5ZtRzAXZG81zaFY2DRwAgk
49,Say So,Doja Cat,0.787,0.673,0.158,0.786,0,0.256,110.962,237893,-4.577,11,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
50,Maniac,Conan Gray,0.623,0.647,0.04,0.522,1,0.00122,107.987,185787,-5.438,8,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
1,Hardstyle Girl (Harris & Ford Remix),Hard But Crazy,0.458,0.94,0.299,0.671,1,0.097,149.527,165000,-2.546,1,https://open.spotify.com/track/4SNTRZEd437z47y4mL9vKi
2,Blinding Lights,The Weeknd,0.513,0.796,0.0629,0.345,1,0.00147,171.017,201573,-4.075,1,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,The Box,Roddy Ricch,0.896,0.586,0.0559,0.642,0,0.104,116.971,196653,-6.687,10,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,GOODMORNINGTOKYO!,TOKYO’S REVENGE,0.907,0.539,0.36,0.664,1,0.0408,124.918,150115,-7.782,4,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
5,Blueberry Fergo,Lil Monet,0.831,0.405,0.0776,0.292,1,0.0171,98.992,141997,-10.578,0,https://open.spotify.com/track/6CrMU5zXlKNGsipNhiu7hN
6,Roses - Imanbek Remix,SAINt JHN,0.77,0.724,0.0495,0.898,1,0.0167,121.975,176840,-5.484,8,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
7,Psycho!,MASN,0.868,0.365,0.0383,0.471,1,0.433,114.979,197217,-9.51,7,https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
8,Against The Rest,Twisted Harmonies,0.77,0.884,0.043,0.582,0,0.0983,123.913,165580,-3.079,6,https://open.spotify.com/track/6IPkf3kASYGkgeHuvxRMXO
9,Falling,Trevor Daniel,0.784,0.43,0.0364,0.236,0,0.123,127.087,159382,-8.756,10,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
10,No Idea,Don Toliver,0.651,0.631,0.0896,0.35,0,0.519,127.994,154424,-5.717,6,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
11,Die Gang ist mein Team,Klaas,0.776,0.313,0.43,0.815,0,0.296,150.005,155142,-21.199,10,https://open.spotify.com/track/3QqIm5mpKvYMn4fJpAkObd
12,How Dare You,Derex,0.329,0.723,0.0795,0.188,0,0.0155,150.895,215380,-6.025,7,https://open.spotify.com/track/6FngZCqvzNE4lAiOfmLJck
13,BOYFREN,LoveLeo,0.842,0.368,0.0668,0.713,1,0.251,79.96,136956,-7.324,1,https://open.spotify.com/track/2YJ7tTicU1vUmUjYNJROrv
14,Ayy Macarena,Tyga,0.816,0.63,0.226,0.715,1,0.133,96.493,131607,-5.568,2,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
15,KEIN SCHLAF,Nimo,0.606,0.715,0.173,0.393,1,0.294,174.049,200493,-5.608,11,https://open.spotify.com/track/1B89LtaW92jj4AqT7OZ0Fj
16,Shababs botten,Pashanim,0.88,0.399,0.464,0.387,0,0.102,46.66,96031,-8.849,6,https://open.spotify.com/track/0H9WHopZ62JeDaGau7REMw
17,Oblivion,Rufi-O,0.714,0.131,0.0556,0.685,1,0.975,113.032,152920,-21.958,5,https://open.spotify.com/track/2zhPy8zbBf53XgTtkEbnbO
18,CASINO ROYAL,Kianush,0.754,0.68,0.224,0.499,0,0.345,118.008,171356,-6.331,0,https://open.spotify.com/track/3Dkfcd3DbXGVmM05KCRuFA
19,Skifahren (feat. Joshi Mizu),The Cratez,0.719,0.705,0.252,0.435,0,0.223,133.927,162651,-6.891,5,https://open.spotify.com/track/1E1YyZjbteIz2XQyLvtRxD
20,A Little Less Conversation (feat. The Great Escape),Nebbra,0.44,0.71,0.131,0.837,0,0.567,93.147,171474,-6.093,5,https://open.spotify.com/track/0OsylRd3BPdrqKcy06am1w
21,Tusa,KAROL G,0.803,0.715,0.298,0.574,1,0.295,101.085,200960,-3.28,2,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
22,A.M.,Lonr.,0.74,0.761,0.0851,0.453,0,0.0691,146.144,164935,-4.753,0,https://open.spotify.com/track/1GGxh8QYLRZaQ07d6AHA8E
23,Alien,RIN,0.835,0.601,0.0562,0.853,1,0.298,137.998,208947,-6.411,6,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
24,Dosenbier,Stefan Rauch,0.674,0.935,0.0661,0.503,1,0.0326,134.069,183022,-4.885,0,https://open.spotify.com/track/02zpZDk6pHfNPLPMd3EJrp
25,Futsal Shuffle 2020,Lil Uzi Vert,0.881,0.457,0.156,0.296,0,0.0327,136.97,198913,-8.191,7,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
26,All I Want - From "High School Musical: The Musical: The Series",Olivia Rodrigo,0.376,0.43,0.0328,0.129,0,0.0902,77.599,177323,-6.585,0,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
