position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,key,URL
36,ily (i love you baby) (feat. Emilee),Surf Mesa,0.674,0.774,0.0892,0.33,0,0.0686,112.05,176547,-7.567,11,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
37,Wake Up Everybody,Harold Melvin & The Blue Notes,0.565,0.645,0.0688,0.631,1,0.428,97.717,452773,-8.117,6,https://open.spotify.com/track/5kQ2ZEav7TgUoLSLrm7h8S
38,Tässäkö tää oli? (feat. Leavings-Orkesteri),Arttu Wiskari,0.773,0.644,0.0335,0.801,0,0.151,126.029,222070,-6.092,5,https://open.spotify.com/track/3DxOpRtAzmGviFnsn0aM8m
39,Jotain Aitoo,Redi Niska,0.653,0.549,0.186,0.158,0,0.128,171.826,200930,-9.437,10,https://open.spotify.com/track/798rCUH701tFyrpogxQbgB
40,Misleading Intentions,Vince Vigo,0.719,0.754,0.0418,0.612,0,0.0132,109.983,172818,-4.713,10,https://open.spotify.com/track/6qiiw5xrCKTr7YnzuE1gtz
41,Somebody's Watching Me,Chico Rose,0.712,0.857,0.052,0.207,0,0.0855,124.963,176640,-4.922,1,https://open.spotify.com/track/3vrm4dNThrhQ0BArrLIUOV
42,Don't Die,Killer Mike,0.352,0.807,0.173,0.0423,1,0.0193,90.772,248133,-7.781,0,https://open.spotify.com/track/6SKP6d0DFOBemCvThbuqUj
43,Masennuksesta Itsemurhaan,Nyrkki-Kyllikki,0.436,0.723,0.623,0.292,1,0.113,74.21,216000,-9.289,2,https://open.spotify.com/track/12NvyFj6uTYx1h2k05CI1o
44,Astronomia,Vicetone,0.653,0.945,0.096,0.326,1,0.00561,126.093,198095,-2.634,5,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
45,Kosketus,Mauton,0.846,0.534,0.142,0.52,0,0.309,100.015,175628,-7.404,1,https://open.spotify.com/track/0sebl5CMM1Ip1zTHOaB591
46,Might Not Be OK (feat. Big K.R.I.T.),Kenneth Whalum,0.487,0.461,0.0394,0.138,0,0.906,79.32,200851,-7.313,8,https://open.spotify.com/track/3w4YszQwxhG5q1iYf4DMpR
47,Lambada,Hr. Troels,0.689,0.795,0.0627,0.513,0,0.15,126.082,186667,-4.633,2,https://open.spotify.com/track/1JyRjcUxnDd0TaR5Sd0V3c
48,Kaswu,E W E,0.512,0.607,0.174,0.394,1,0.465,171.964,259051,-7.803,0,https://open.spotify.com/track/3FjkPX9cLdxaYyz4Fcfe6P
49,Suvivirsi (Jo joutui armas aika),Lauluryhmä Nekut,0.443,0.243,0.0266,0.278,1,0.403,92.012,140253,-9.991,2,https://open.spotify.com/track/4x6NTUx4RyW7Qcyu73VfHy
50,Kapernick Effect,JAG,0.652,0.781,0.333,0.628,0,0.635,87.83,118828,-4.396,3,https://open.spotify.com/track/1fg0MTdAaXlbn9HWqQAJBQ
1,Судно (Борис Рижий),Molchat Doma,0.484,0.749,0.0687,0.468,1,0.699,160.006,141395,-4.176,1,https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
2,Times We Had,Barlito,0.849,0.7,0.259,0.704,0,0.46,142.996,229799,-6.138,7,https://open.spotify.com/track/0taGy8aBzOXCLdPwbPykpz
3,Party Girl,StaySolidRocky,0.728,0.431,0.0622,0.629,0,0.749,130.022,147800,-9.966,6,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
4,Falcon,Bleak Purdy,0.738,0.597,0.281,0.705,1,0.295,159.775,133663,-10.002,10,https://open.spotify.com/track/4BYwULToH4I36lhfixT4Ec
5,Coffin Dance,Music Falcon,0.728,0.479,0.0343,0.117,1,0.00986,124.075,135847,-10.786,4,https://open.spotify.com/track/50fboiidqkAhrE5dNueFKR
6,Cash Out,Bleak Purdy,0.906,0.43,0.16,0.501,1,0.14,99.958,122192,-8.219,0,https://open.spotify.com/track/6rhZJHZa7CzhlT4A4uuvxp
7,Play Date,Melanie Martinez,0.68,0.729,0.0475,0.446,1,0.612,123.97,179867,-5.077,5,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
8,Ryypätään,Raff,0.723,0.741,0.156,0.506,0,0.161,91.948,215553,-7.923,8,https://open.spotify.com/track/1sMJAbLlSD8UgXJ5bpzd6u
9,WIE LANG?????????,Dardan,0.564,0.841,0.0829,0.29,0,0.245,150.023,183000,-5.706,8,https://open.spotify.com/track/7sMe3DBnBppU4COnQJHRV5
10,Yoga,645AR,0.864,0.613,0.781,0.169,1,0.038,150.067,91200,-6.505,2,https://open.spotify.com/track/2DiybJZJGXyV1UYmngo3eq
11,Laxed – Siren Beat,Jawsh 685,0.736,0.62,0.11,0.959,0,0.0577,150.026,201990,-8.481,0,https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
12,Penelope (feat. Clever),william,0.794,0.668,0.0366,0.789,1,0.0434,129.948,183702,-6.24,9,https://open.spotify.com/track/4NVHhia6yRB4RsRTlpzsz3
13,August,Intelligency,0.835,0.559,0.0323,0.509,0,0.314,125.023,179520,-9.852,2,https://open.spotify.com/track/3ZQ3kDvbNYIZI4uR1qQHII
14,Deep End Freestyle,Sleepy Hallow,0.876,0.479,0.44,0.776,0,0.703,133.858,115200,-6.687,4,https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
15,Superstar,David Puentez,0.727,0.725,0.203,0.468,1,0.0624,119.965,165000,-6.198,0,https://open.spotify.com/track/5gFCFZnV0QTt1YfjY7dJBY
16,IDGAF,Aataminoppa,0.807,0.461,0.323,0.293,1,0.0814,76.979,292208,-8.83,1,https://open.spotify.com/track/2rAKjSKVZcYco3sWTQvZ2t
17,Vanki,Ikirouta,0.452,0.939,0.048,0.52,1,0.00337,75.03,223072,-4.232,9,https://open.spotify.com/track/4tn2N530PmKWZxW3qJvMMV
18,Banana (feat. Shaggy),Conkarah,0.856,0.834,0.245,0.824,1,0.0582,95.056,184421,-4.012,8,https://open.spotify.com/track/6ON9qDoT2beR9dQ0evOOj1
19,IDK You Yet,Alexander 23,0.629,0.306,0.0424,0.191,1,0.884,76.994,184638,-11.735,1,https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d
20,ily (i love you baby) (feat. Emilee),Surf Mesa,0.674,0.774,0.0892,0.33,0,0.0686,112.05,176547,-7.567,11,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
21,Tässäkö tää oli? (feat. Leavings-Orkesteri),Arttu Wiskari,0.773,0.644,0.0335,0.801,0,0.151,126.029,222070,-6.092,5,https://open.spotify.com/track/3DxOpRtAzmGviFnsn0aM8m
22,Fishy on Me,Dr. Sus,0.908,0.342,0.196,0.505,1,0.651,99.959,132885,-7.651,1,https://open.spotify.com/track/1k6GEdfONk9Fs6JgrC8aBN
23,ROCKSTAR (feat. Roddy Ricch),DaBaby,0.746,0.69,0.164,0.497,1,0.247,89.977,181733,-7.956,11,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
24,Du är vad du är (2020),Musikalen Hype,0.577,0.854,0.0655,0.679,0,0.0312,146.907,241553,-5.506,0,https://open.spotify.com/track/1pojR5Tx0OdQIc6OOAe7he
25,50//50,Vantage,0.837,0.698,0.0511,0.397,1,0.0608,124.136,246167,-7.215,7,https://open.spotify.com/track/36lNDeaRf8F8aYaP0zaHpm
26,Astronomia,Vicetone,0.653,0.945,0.096,0.326,1,0.00561,126.093,198095,-2.634,5,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
27,Rakastan elämää,Petrus Schroderus,0.25,0.167,0.0422,0.234,0,0.911,160.618,209054,-14.439,3,https://open.spotify.com/track/3jR39eM4EV3W4yLnfgJh4O
