danceability,energy,speechiness,valence,mode,acousticness
0.759,0.548,0.029,0.749,0,0.0392
0.817,0.665,0.0758,0.662,0,0.0549
0.563,0.729,0.16,0.726,1,0.0623
0.834,0.73,0.222,0.446,1,0.00513
0.826,0.773,0.0524,0.761,0,0.323
0.796,0.849,0.071,0.784,1,0.0457
0.727,0.838,0.0472,0.933,1,0.297
0.725,0.79,0.197,0.763,1,0.0711
0.597,0.45,0.0418,0.537,1,0.223
0.89,0.748,0.0976,0.402,0,0.186
0.882,0.689,0.124,0.746,1,0.39
0.734,0.836,0.0735,0.623,0,0.017
0.764,0.32,0.0546,0.575,1,0.837
0.73,0.729,0.0886,0.467,0,0.167
0.758,0.717,0.131,0.753,1,0.319
0.748,0.808,0.0619,0.553,0,0.0366
0.815,0.665,0.164,0.522,0,0.698
0.813,0.625,0.0864,0.726,0,0.614
0.718,0.431,0.0314,0.324,1,0.132
0.46,0.816,0.0427,0.373,1,0.00144
0.754,0.646,0.317,0.429,1,0.152
0.886,0.672,0.188,0.526,1,0.0363
0.637,0.65,0.185,0.736,1,0.682
0.766,0.545,0.0737,0.428,1,0.34
0.648,0.752,0.133,0.405,1,0.315
0.683,0.846,0.0422,0.706,1,0.0634
0.737,0.86,0.0593,0.656,0,0.11
0.606,0.921,0.0327,0.77,0,0.00437
0.701,0.425,0.375,0.562,1,0.328
0.795,0.783,0.0432,0.8,1,0.361
0.66,0.698,0.32,0.486,0,0.176
0.896,0.586,0.0559,0.642,0,0.104
0.686,0.721,0.17,0.713,1,0.612
0.738,0.826,0.0459,0.872,1,0.0541
0.807,0.803,0.126,0.706,1,0.602
0.848,0.615,0.192,0.48,0,0.165
0.881,0.952,0.0603,0.549,1,0.147
0.667,0.849,0.0755,0.851,0,0.0481
0.883,0.668,0.113,0.676,1,0.11
0.682,0.548,0.116,0.376,1,0.45
0.713,0.77,0.101,0.684,0,0.0587
0.68,0.766,0.0923,0.28,0,0.0411
0.718,0.742,0.0467,0.944,1,0.132
0.362,0.42,0.0582,0.284,1,0.655
0.565,0.39,0.0556,0.708,1,0.817
0.489,0.498,0.0395,0.378,0,0.699
0.745,0.972,0.0774,0.556,1,0.00903
0.62,0.655,0.0505,0.202,1,0.678
0.605,0.804,0.0629,0.732,1,0.0338
0.598,0.427,0.0317,0.0605,0,0.0546
0.863,0.631,0.0534,0.817,1,0.305
0.481,0.598,0.0309,0.408,1,0.119
0.611,0.688,0.341,0.393,1,0.0264
0.572,0.385,0.0308,0.323,1,0.371
0.753,0.647,0.38,0.501,0,0.256
0.86,0.791,0.0568,0.887,1,0.169
0.267,0.158,0.0347,0.276,0,0.815
0.856,0.656,0.131,0.586,0,0.165
0.587,0.847,0.0389,0.754,1,0.0622
0.693,0.558,0.0366,0.298,1,0.169
0.824,0.714,0.051,0.77,1,0.432
