position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,URL
36,Say It Loud - I'm Black And I'm Proud - Pt. 1,James Brown,0.85,0.66,0.193,0.926,1,0.386,115.076,167187,-6.323,https://open.spotify.com/track/5h8ve1B7Gr3k4W0WXAgLxE
37,HİÇ,Erkan Güleryüz,0.862,0.415,0.0936,0.445,0,0.142,134.055,222668,-7.386,https://open.spotify.com/track/1RdVKXdWuGVWz1V6KZaC6o
38,Laxed – Siren Beat,Jawsh 685,0.736,0.62,0.11,0.959,0,0.0577,150.026,201990,-8.481,https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
39,Yaralı,Nahide Babashlı,0.482,0.653,0.113,0.298,0,0.764,171.868,199535,-4.001,https://open.spotify.com/track/3a8ThU8QVmrFSOCeNFUHYI
40,roxstar,Bangers Only,0.862,0.539,0.0787,0.439,1,0.225,130.026,150883,-6.975,https://open.spotify.com/track/5l8rugpVIdln5jHvEQLNla
41,Daha Mutlu Olamam,mor ve ötesi,0.493,0.701,0.0343,0.563,1,0.00884,135.699,220333,-7.01,https://open.spotify.com/track/32VgH3g8D7l7ZuT74FgdPY
42,Beyaz Ve Sen,Seda Mervas,0.61,0.028,0.121,0.698,1,0.932,134.439,146733,-18.996,https://open.spotify.com/track/3yeca8Wq7KYNOJBcjs9suf
43,Yıkılmam Asla,Ayça Özefe,0.619,0.506,0.0859,0.324,0,0.866,119.906,152000,-10.4,https://open.spotify.com/track/3t2nEhZ1dkAIvG4KyJd1LR
44,Yağmurlar,Anıl Piyancı,0.71,0.694,0.0477,0.219,0,0.057,115.091,237865,-6.187,https://open.spotify.com/track/3aX0N8IdY9rECrbuuR4FMp
45,Beni Kendinden Kurtar,Perdenin Ardındakiler,0.456,0.311,0.0289,0.216,0,0.61,156.193,206434,-9.18,https://open.spotify.com/track/15XIirnxN07thDhFLuFbH6
46,Ölümüne,Soner Sarıkabadayı,0.73,0.508,0.119,0.655,0,0.0424,178.005,183500,-5.593,https://open.spotify.com/track/7jeAbZgQ2eD6N3mDB3F2Im
47,Bagısla,MEG,0.488,0.448,0.247,0.777,0,0.454,83.412,186000,-8.774,https://open.spotify.com/track/0ZoHq3iJAXudNAWeRPkwvl
48,Kelebekler,Madrigal,0.697,0.452,0.0302,0.854,0,0.145,82.016,247130,-10.739,https://open.spotify.com/track/3O9G6FQrqhwQxR0GeeF93Q
49,Uzunlar - V2,Evdeki Saat,0.596,0.713,0.0512,0.853,0,0.057,170.067,262588,-7.878,https://open.spotify.com/track/5bnn2jadPSi4cAwq5H1clN
50,Deep End,AREZRA,0.709,0.601,0.245,0.328,1,0.0526,125.178,188165,-9.21,https://open.spotify.com/track/5F9Af8IkIrfayGZtxskdgn
