danceability,energy,speechiness,valence,mode,acousticness
0.574,0.58,0.038,0.175,1,0.133
0.778,0.559,0.0776,0.678,0,0.128
0.598,0.502,0.0447,0.403,1,0.862
0.488,0.343,0.0436,0.0978,1,0.556
0.54,0.793,0.0493,0.399,1,0.0744
0.752,0.87,0.0623,0.784,0,0.0604
0.385,0.358,0.0356,0.154,0,0.198
0.719,0.704,0.0476,0.628,1,0.0691
0.39,0.448,0.0276,0.077,0,0.8
0.856,0.641,0.204,0.745,0,0.119
0.52,0.798,0.0391,0.168,0,0.101
0.331,0.235,0.0299,0.218,1,0.918
0.509,0.542,0.442,0.151,0,0.019
0.525,0.63,0.0297,0.535,1,0.485
0.504,0.763,0.0596,0.321,1,0.115
0.52,0.826,0.0291,0.354,0,0.00355
0.785,0.525,0.042,0.251,1,0.669
0.7,0.904,0.0431,0.347,1,0.0531
0.88,0.751,0.0874,0.884,0,0.177
0.682,0.173,0.0314,0.236,1,0.839
0.469,0.08,0.0425,0.206,1,0.897
0.685,0.692,0.0457,0.578,1,0.328
0.755,0.522,0.0575,0.925,1,0.533
0.478,0.0675,0.0371,0.236,0,0.964
0.442,0.619,0.0321,0.382,1,0.0841
0.526,0.477,0.0273,0.26,1,0.273
0.67,0.733,0.0394,0.682,1,0.0327
0.572,0.359,0.133,0.509,0,0.869
0.809,0.545,0.0735,0.244,1,0.392
0.73,0.761,0.0582,0.882,1,0.189
0.509,0.538,0.0572,0.244,1,0.385
0.609,0.757,0.119,0.379,1,0.299
0.512,0.397,0.0362,0.293,1,0.639
0.929,0.542,0.533,0.414,1,0.0601
0.598,0.7,0.0991,0.631,0,0.0606
0.635,0.822,0.0846,0.271,0,0.0115
0.659,0.94,0.138,0.424,1,0.0146
0.358,0.557,0.059,0.494,1,0.695
0.548,0.805,0.351,0.648,1,0.212
0.544,0.369,0.038,0.102,1,0.969
0.664,0.836,0.026,0.786,0,0.0175
0.652,0.557,0.0318,0.483,0,0.74
0.685,0.75,0.0837,0.688,1,0.0436
0.934,0.489,0.0699,0.874,1,0.0477
0.868,0.479,0.445,0.776,0,0.703
0.602,0.377,0.0446,0.518,1,0.731
0.736,0.62,0.11,0.959,0,0.0577
0.665,0.498,0.0832,0.127,1,0.228
0.567,0.515,0.247,0.321,0,0.354
0.303,0.466,0.0446,0.0389,0,0.165
0.64,0.648,0.187,0.548,0,0.124
0.598,0.526,0.0415,0.529,0,0.129
0.798,0.675,0.0442,0.842,1,0.0912
0.499,0.442,0.0699,0.443,0,0.29
0.498,0.235,0.188,0.0895,0,0.72
0.419,0.55,0.0414,0.157,0,0.591
0.792,0.517,0.0846,0.579,0,0.00401
0.752,0.673,0.153,0.35,0,0.0538
0.748,0.457,0.0465,0.464,1,0.0292
0.739,0.693,0.125,0.386,0,0.0179
0.605,0.365,0.111,0.224,1,0.63
0.719,0.716,0.125,0.597,1,0.126
