danceability,energy,speechiness,valence,mode,acousticness
0.63,0.633,0.0457,0.452,1,0.00776
0.598,0.526,0.0415,0.529,0,0.129
0.71,0.5,0.253,0.439,1,0.567
0.7,0.657,0.0319,0.572,1,0.519
0.714,0.543,0.0969,0.576,0,0.0303
0.577,0.683,0.337,0.803,1,0.707
0.682,0.7,0.0397,0.637,1,0.406
0.351,0.296,0.0333,0.12,0,0.934
0.589,0.525,0.0702,0.723,1,0.301
0.572,0.406,0.0427,0.265,1,0.587
0.957,0.664,0.283,0.805,0,0.295
0.756,0.829,0.0318,0.821,1,0.348
0.641,0.663,0.0354,0.571,0,0.0113
0.719,0.704,0.0476,0.628,1,0.0691
0.647,0.726,0.0552,0.769,0,0.157
0.791,0.738,0.0732,0.666,1,0.406
0.741,0.802,0.329,0.614,1,0.435
0.596,0.854,0.463,0.152,0,0.0169
0.806,0.745,0.231,0.747,0,0.303
0.741,0.627,0.333,0.7,0,0.701
0.894,0.635,0.0473,0.428,1,0.193
0.673,0.533,0.0942,0.112,1,0.378
0.674,0.881,0.147,0.234,1,0.296
0.673,0.771,0.137,0.687,0,0.0609
0.704,0.225,0.0994,0.243,0,0.902
0.864,0.588,0.325,0.727,0,0.586
0.744,0.625,0.253,0.705,0,0.474
0.823,0.704,0.238,0.787,1,0.061
0.707,0.938,0.0934,0.493,1,0.306
0.621,0.601,0.148,0.457,0,0.0522
0.686,0.541,0.0493,0.724,0,0.042
0.86,0.541,0.448,0.35,1,0.0431
0.572,0.385,0.0308,0.323,1,0.371
0.68,0.654,0.386,0.486,1,0.392
0.605,0.728,0.123,0.606,0,0.117
0.652,0.557,0.0318,0.483,0,0.74
0.822,0.743,0.28,0.636,0,0.016
0.609,0.524,0.034,0.403,0,0.827
0.87,0.74,0.118,0.447,0,0.00803
0.798,0.675,0.0442,0.842,1,0.0912
0.496,0.661,0.368,0.279,1,0.0379
0.832,0.667,0.0592,0.494,1,0.143
0.821,0.566,0.117,0.514,1,0.308
0.757,0.732,0.195,0.385,1,0.325
0.808,0.745,0.342,0.829,0,0.145
0.636,0.699,0.0396,0.709,0,0.302
0.972,0.57,0.372,0.91,0,0.143
0.84,0.805,0.188,0.945,1,0.223
0.848,0.768,0.0373,0.777,0,0.0412
0.843,0.741,0.334,0.68,1,0.0252
0.774,0.567,0.194,0.798,0,0.799
0.806,0.674,0.0796,0.293,0,0.0987
0.662,0.554,0.0512,0.276,1,0.547
0.677,0.744,0.0295,0.631,0,0.0404
0.791,0.662,0.172,0.576,1,0.435
0.778,0.62,0.256,0.361,0,0.0709
0.923,0.604,0.245,0.826,0,0.017
0.787,0.792,0.328,0.506,1,0.31
0.6,0.657,0.108,0.178,1,0.707
0.629,0.692,0.0376,0.453,1,0.00981
0.758,0.687,0.0569,0.475,0,0.3
