position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,key,URL
35,Para Lisa,Uzielito Mix,0.751,0.894,0.298,0.845,1,0.557,180.046,212043,-3.921,9,https://open.spotify.com/track/2S8qTt7Ucgk1k6fNEa9iWG
36,Rayito,Borneo,0.578,0.153,0.0562,0.435,1,0.947,116.38,172965,-12.068,10,https://open.spotify.com/track/3m4vWJUZHcQRh6ZV2aHkFH
37,Temblor - Remix,Causa,0.64,0.8,0.151,0.444,0,0.0278,122.988,212683,-3.768,6,https://open.spotify.com/track/40gfrW5BX2QE5SrxzRq5TM
38,Relación,Sech,0.805,0.562,0.105,0.767,0,0.125,172.094,184255,-3.117,7,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
39,Puto Normando,Irenegarry,0.479,0.24,0.0427,0.265,1,0.567,122.623,230596,-10.623,5,https://open.spotify.com/track/61DtITLsb1Vm19r7f1zFwr
40,Flamenkito,Lérica,0.73,0.714,0.107,0.924,1,0.0877,94.896,202153,-2.979,0,https://open.spotify.com/track/4fsj5oMLYrCUlTDs4P9qw5
41,Dime Bbsita,Robledo,0.813,0.544,0.0577,0.707,1,0.0766,95.019,174197,-8.884,5,https://open.spotify.com/track/5mBWQ675Eb4j4fn6iuNnOe
42,Lo Bueno,Soraya,0.701,0.927,0.0567,0.815,1,0.0834,97.981,182336,-2.537,2,https://open.spotify.com/track/1KIWc35kphw81MckHYUYmr
43,Si Tú La Quieres,David Bisbal,0.748,0.778,0.0685,0.607,0,0.147,100.053,224761,-4.582,0,https://open.spotify.com/track/35qwAQ3oZeKAMhR3hCV9IM
44,BAD CON NICKY,Bad Bunny,0.59,0.729,0.0893,0.712,0,0.321,93.094,202240,-4.95,7,https://open.spotify.com/track/5bmSver2b3ZXyuyLKtgnFI
45,16 Shots,Vic Mensa,0.532,0.693,0.332,0.126,0,0.217,98.441,345747,-7.099,6,https://open.spotify.com/track/5YqYLur57vzjL0Ts8fk0G2
46,Revolution,Kirk Franklin,0.816,0.781,0.0752,0.694,1,0.0719,103.005,337893,-5.112,2,https://open.spotify.com/track/4xm2HjtDAdCobewPoaImT7
47,Banana (feat. Shaggy),Conkarah,0.856,0.834,0.245,0.824,1,0.0582,95.056,184421,-4.012,8,https://open.spotify.com/track/6ON9qDoT2beR9dQ0evOOj1
48,MÁS DE UNA CITA,Bad Bunny,0.865,0.5,0.0861,0.317,1,0.0122,92.976,183520,-10.805,5,https://open.spotify.com/track/4EJHKSnHENfjOxXWryyNtL
49,Quiéreme Mientras Se Pueda,Manuel Turizo,0.793,0.782,0.0582,0.81,1,0.447,143.86,191945,-3.945,4,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
50,Cuando Amanezca (feat. Danny Ocean- Justin Quiles- Feid),Nibal,0.695,0.805,0.0861,0.568,1,0.0679,84.021,187492,-5.146,7,https://open.spotify.com/track/0yx82WHSiVRekLwqfxQkvJ
