Position,Track_Name,Artist,URL
12,"How Dare You",Derex,https://open.spotify.com/track/6FngZCqvzNE4lAiOfmLJck
13,BOYFREN,LoveLeo,https://open.spotify.com/track/2YJ7tTicU1vUmUjYNJROrv
14,"Ayy Macarena",Tyga,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
15,"KEIN SCHLAF",Nimo,https://open.spotify.com/track/1B89LtaW92jj4AqT7OZ0Fj
16,"Shababs botten",Pashanim,https://open.spotify.com/track/0H9WHopZ62JeDaGau7REMw
17,Oblivion,Rufi-O,https://open.spotify.com/track/2zhPy8zbBf53XgTtkEbnbO
18,"CASINO ROYAL",Kianush,https://open.spotify.com/track/3Dkfcd3DbXGVmM05KCRuFA
19,"Skifahren (feat. Joshi Mizu)","The Cratez",https://open.spotify.com/track/1E1YyZjbteIz2XQyLvtRxD
20,"A Little Less Conversation (feat. The Great Escape)",Nebbra,https://open.spotify.com/track/0OsylRd3BPdrqKcy06am1w
21,Tusa,"KAROL G",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
22,A.M.,Lonr.,https://open.spotify.com/track/1GGxh8QYLRZaQ07d6AHA8E
23,Alien,RIN,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
24,Dosenbier,"Stefan Rauch",https://open.spotify.com/track/02zpZDk6pHfNPLPMd3EJrp
25,"Futsal Shuffle 2020","Lil Uzi Vert",https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
26,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
27,Roller,"Apache 207",https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
28,"My Oh My (feat. DaBaby)","Camila Cabello",https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
29,Luft,Lucio101,https://open.spotify.com/track/6ruutN8MvN94yb5pNGIkwL
30,ROXANNE,"Arizona Zervas",https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
31,COLT,Samra,https://open.spotify.com/track/76IVpz47q3ghkxoUeTTEKb
32,"Say So","Doja Cat",https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
33,Suicidal,"YNW Melly",https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
34,"Als wenns gestern war",Slavik,https://open.spotify.com/track/5yWnIalBcSZn8vKwZd3VJa
35,Elements,Joyhauser,https://open.spotify.com/track/0C6aMqg0IlMqSNTxpmRbko
36,"Push My Button",JustLuke,https://open.spotify.com/track/5JOzlGzD88l09GXJSlPxng
37,"Wenn die Party vorbei ist",Provinz,https://open.spotify.com/track/5tDbfppCFIQfmszRQyVL6U
38,"Texas Sun",Khruangbin,https://open.spotify.com/track/3k5oLgungD1dSOGLqQdIQw
39,"If the World Was Ending - feat. Julia Michaels","JP Saxe",https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
40,"Eternal Youth",RŮDE,https://open.spotify.com/track/0ytvsZOerGzUWfHXVT2Sgy
41,Problems,DeathbyRomy,https://open.spotify.com/track/5fgHQws1Cj6KDLQmlqM6lF
42,"something left to be said",dane,https://open.spotify.com/track/6IeFrWehFc77NubbkgR58K
43,Gangsta,Darkoo,https://open.spotify.com/track/0KzhyaVtr2v4J9GVdMgCk0
44,SUGAR,BROCKHAMPTON,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
45,stupid,"Tate McRae",https://open.spotify.com/track/4k3uABcX9iaGlt5pRJhumi
46,T-Shirt,KASIMIR1441,https://open.spotify.com/track/2ysuyHrDnmlJexX7Mfh2J1
47,"everything i wanted","Billie Eilish",https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
48,"Turn Me On (feat. Vula)",Riton,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
49,"Close Your Eyes","Felix Jaehn",https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
50,Run,"Lost Child",https://open.spotify.com/track/0Spdubqixmqtj04v9xvrUI
1,Kraazy,Likybo,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D
2,"Zeig dein Gesicht","Gewitter im Kopf",https://open.spotify.com/track/2X0aRaRv0K5VKd1ktY2Z7j
3,"The Box","Roddy Ricch",https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,"Hardstyle Girl (Harris & Ford Remix)","Hard But Crazy",https://open.spotify.com/track/4SNTRZEd437z47y4mL9vKi
5,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
6,Psycho!,MASN,https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
7,Hauseingang,Pashanim,https://open.spotify.com/track/1IikW5aCjY08gagX94j3fJ
8,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
9,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
10,"Burberry faygo","Lil Adrei",https://open.spotify.com/track/3B36YnwXzR3VKm4hHYmGtr
11,"Breaking Me",Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
12,Falling,"Trevor Daniel",https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
13,CASINO,"Katja Krasavice",https://open.spotify.com/track/01AXHOcjq5Ikq1mKyNm9bM
14,"No Idea","Don Toliver",https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
15,"Vor der Tür",Gzuz,https://open.spotify.com/track/2LgsKzO8lCeXk0TMd9veWW
16,Wieso?,Ra'is,https://open.spotify.com/track/1LK1THOpF8Ul8rHeL2Ws9C
17,"Die Gang ist mein Team",Klaas,https://open.spotify.com/track/3QqIm5mpKvYMn4fJpAkObd
18,BOYFREN,LoveLeo,https://open.spotify.com/track/3WmgMoWZ1E5yNyn2aUzWAr
19,"Against The Rest","Twisted Harmonies",https://open.spotify.com/track/6IPkf3kASYGkgeHuvxRMXO
20,"Skifahren (feat. Joshi Mizu)","The Cratez",https://open.spotify.com/track/1E1YyZjbteIz2XQyLvtRxD
21,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
22,"Shababs botten",Pashanim,https://open.spotify.com/track/0H9WHopZ62JeDaGau7REMw
23,Dosenbier,"Stefan Rauch",https://open.spotify.com/track/02zpZDk6pHfNPLPMd3EJrp
24,SUGAR,BROCKHAMPTON,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
25,"Ayy Macarena",Tyga,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
26,Roller,"Apache 207",https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
27,Luft,Lucio101,https://open.spotify.com/track/6ruutN8MvN94yb5pNGIkwL
28,"Eternal Youth",RŮDE,https://open.spotify.com/track/0ytvsZOerGzUWfHXVT2Sgy
29,"Say So","Doja Cat",https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
30,Oblivion,Rufi-O,https://open.spotify.com/track/2zhPy8zbBf53XgTtkEbnbO
31,"KEIN SCHLAF",Nimo,https://open.spotify.com/track/1B89LtaW92jj4AqT7OZ0Fj
32,Elements,Joyhauser,https://open.spotify.com/track/0C6aMqg0IlMqSNTxpmRbko
33,"Menage A Trois",LIZOT,https://open.spotify.com/track/40vCMTDaDwwpf7DyBlmgEj
34,Problems,DeathbyRomy,https://open.spotify.com/track/5fgHQws1Cj6KDLQmlqM6lF
35,Suicidal,"YNW Melly",https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
36,"Nur zur Info",Ufo361,https://open.spotify.com/track/6Y7ZEVr7lgO8FKGk2vZ2hi
37,ROXANNE,"Arizona Zervas",https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
38,"Close Your Eyes","Felix Jaehn",https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
39,Alien,RIN,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
40,"CASINO ROYAL",Kianush,https://open.spotify.com/track/3Dkfcd3DbXGVmM05KCRuFA
41,"Hawaii Toast Song - BRANDON Remix","Alexander Marcus",https://open.spotify.com/track/5CyWnrEZ6EeRoP8atbcDiv
42,Tusa,"KAROL G",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
43,"Mit Dir",Loredana,https://open.spotify.com/track/26FNTVsgF4m31xvDgFfhGW
44,"A Little Less Conversation (feat. The Great Escape)",Nebbra,https://open.spotify.com/track/0OsylRd3BPdrqKcy06am1w
45,T-Shirt,KASIMIR1441,https://open.spotify.com/track/2ysuyHrDnmlJexX7Mfh2J1
46,"In Your Eyes",Ellipso,https://open.spotify.com/track/2SKvJYUnih2apztfzWBQUd
47,"If the World Was Ending - feat. Julia Michaels","JP Saxe",https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
48,"Lottery (Renegade)","K CAMP",https://open.spotify.com/track/4dZTZbmJBCCofAExHwefda
49,"Turn Me On (feat. Vula)",Riton,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
50,"Dance Monkey","Tones And I",https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
1,Kraazy,Likybo,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D
2,"The Box","Roddy Ricch",https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,Psycho!,MASN,https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
4,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
5,Hauseingang,Pashanim,https://open.spotify.com/track/1IikW5aCjY08gagX94j3fJ
6,"Breaking Me",Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
7,CASINO,"Katja Krasavice",https://open.spotify.com/track/5rywC2PH49hTpJLXxwGlpE
8,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
9,"Zeig dein Gesicht","Gewitter im Kopf",https://open.spotify.com/track/2X0aRaRv0K5VKd1ktY2Z7j
10,"Hardstyle Girl (Harris & Ford Remix)","Hard But Crazy",https://open.spotify.com/track/4SNTRZEd437z47y4mL9vKi
11,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
12,"Vor der Tür",Gzuz,https://open.spotify.com/track/2LgsKzO8lCeXk0TMd9veWW
13,Opaul,"Freddie Dredd",https://open.spotify.com/track/4areFtLMjGt4GmO4IAbGo0
14,Falling,"Trevor Daniel",https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
15,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
16,Blockparty,Symba,https://open.spotify.com/track/1MkDGQvM8CRrMIcHxjTni5
17,Luft,Lucio101,https://open.spotify.com/track/6ruutN8MvN94yb5pNGIkwL
18,"No Idea","Don Toliver",https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
19,"Die Gang ist mein Team",Klaas,https://open.spotify.com/track/3QqIm5mpKvYMn4fJpAkObd
20,"Say So","Doja Cat",https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
21,"Skifahren (feat. Joshi Mizu)","The Cratez",https://open.spotify.com/track/1E1YyZjbteIz2XQyLvtRxD
22,Egal,"Michael Wendler",https://open.spotify.com/track/7rjW2CVIOmmQ7U5CGiZcnG
23,SUGAR,BROCKHAMPTON,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
24,"Last Step","Ramon Tapia",https://open.spotify.com/track/2LJFyZegquP5reY4Qi0egR
25,"Schmeckt (feat. LX)",Hemso,https://open.spotify.com/track/0FIcehhFxx18pBlc1wodFB
26,"Eternal Youth",RŮDE,https://open.spotify.com/track/0ytvsZOerGzUWfHXVT2Sgy
27,Suicidal,"YNW Melly",https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
28,Capitaine,Milano,https://open.spotify.com/track/1bt5YR5wXfqGTJFTCPeUDu
29,Elements,Joyhauser,https://open.spotify.com/track/0C6aMqg0IlMqSNTxpmRbko
30,Alien,RIN,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
31,"Menage A Trois",LIZOT,https://open.spotify.com/track/40vCMTDaDwwpf7DyBlmgEj
32,Roller,"Apache 207",https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
33,"Against The Rest","Twisted Harmonies",https://open.spotify.com/track/6IPkf3kASYGkgeHuvxRMXO
34,stupid,"Tate McRae",https://open.spotify.com/track/4k3uABcX9iaGlt5pRJhumi
35,Problems,DeathbyRomy,https://open.spotify.com/track/5fgHQws1Cj6KDLQmlqM6lF
36,"Ayy Macarena",Tyga,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
37,Dosenbier,"Stefan Rauch",https://open.spotify.com/track/02zpZDk6pHfNPLPMd3EJrp
38,"Shababs botten",Pashanim,https://open.spotify.com/track/0H9WHopZ62JeDaGau7REMw
39,"Close Your Eyes","Felix Jaehn",https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
40,"Break My Stride","Matthew Wilder",https://open.spotify.com/track/1mCsF9Tw4AkIZOjvZbZZdT
41,"If the World Was Ending - feat. Julia Michaels","JP Saxe",https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
42,Oblivion,Rufi-O,https://open.spotify.com/track/2zhPy8zbBf53XgTtkEbnbO
43,"Hawaii Toast Song - BRANDON Remix","Alexander Marcus",https://open.spotify.com/track/59fNJknOSNe25LSNepRDXj
44,"CASINO ROYAL",Kianush,https://open.spotify.com/track/3Dkfcd3DbXGVmM05KCRuFA
45,Tusa,"KAROL G",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
46,"KEIN SCHLAF",Nimo,https://open.spotify.com/track/1B89LtaW92jj4AqT7OZ0Fj
47,I.m.d.g,KazOnDaBeat,https://open.spotify.com/track/2DX4Lj4wXV3VK1F8yl0x54
48,ROXANNE,"Arizona Zervas",https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
49,"Alone, Pt. II","Alan Walker",https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
50,"A Little Less Conversation (feat. The Great Escape)",Nebbra,https://open.spotify.com/track/0OsylRd3BPdrqKcy06am1w
1,"Toss a Coin to Your Witcher","Samuel Kim",https://open.spotify.com/track/0NMzV2etWr2eBIbUDuKA5I
2,"The Box","Roddy Ricch",https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,Kraazy,Likybo,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D
4,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
5,"Breaking Me",Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
6,CASINO,"Katja Krasavice",https://open.spotify.com/track/5rywC2PH49hTpJLXxwGlpE
7,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
8,Blockparty,Symba,https://open.spotify.com/track/1MkDGQvM8CRrMIcHxjTni5
9,Opaul,"Freddie Dredd",https://open.spotify.com/track/4areFtLMjGt4GmO4IAbGo0
10,Hauseingang,Pashanim,https://open.spotify.com/track/1IikW5aCjY08gagX94j3fJ
11,"Hardstyle Girl (Harris & Ford Remix)","Hard But Crazy",https://open.spotify.com/track/4SNTRZEd437z47y4mL9vKi
12,Psycho!,MASN,https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
13,Egal,"Michael Wendler",https://open.spotify.com/track/7rjW2CVIOmmQ7U5CGiZcnG
14,"Not So Bad (feat. Emie)","Yves V",https://open.spotify.com/track/1XFHbzTikXks9CsMq4v8Q3
15,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
16,Falling,"Trevor Daniel",https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
17,Suicidal,"YNW Melly",https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
18,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
19,"Last Step","Ramon Tapia",https://open.spotify.com/track/2LJFyZegquP5reY4Qi0egR
20,"Eternal Youth",RŮDE,https://open.spotify.com/track/0ytvsZOerGzUWfHXVT2Sgy
21,Maschine,"RAF Camora",https://open.spotify.com/track/0C6NMPWYqsLIuuYSNP8KqE
22,Yummy,"Justin Bieber",https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
23,"Schmeckt (feat. LX)",Hemso,https://open.spotify.com/track/0FIcehhFxx18pBlc1wodFB
24,"Break My Stride","Matthew Wilder",https://open.spotify.com/track/1mCsF9Tw4AkIZOjvZbZZdT
25,SUGAR,BROCKHAMPTON,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
26,Capitaine,Milano,https://open.spotify.com/track/1bt5YR5wXfqGTJFTCPeUDu
27,"Menage A Trois",LIZOT,https://open.spotify.com/track/40vCMTDaDwwpf7DyBlmgEj
28,"Skifahren (feat. Joshi Mizu)","The Cratez",https://open.spotify.com/track/1E1YyZjbteIz2XQyLvtRxD
29,Roller,"Apache 207",https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
30,stupid,"Tate McRae",https://open.spotify.com/track/4k3uABcX9iaGlt5pRJhumi
31,"Zeig dein Gesicht","Gewitter im Kopf",https://open.spotify.com/track/2X0aRaRv0K5VKd1ktY2Z7j
32,"Say So","Doja Cat",https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
33,"Happiest Year","Jaymes Young",https://open.spotify.com/track/5kcvBnt6DPX3AMEsCx1qDh
34,"Shababs botten",Pashanim,https://open.spotify.com/track/0H9WHopZ62JeDaGau7REMw
35,"Alone, Pt. II","Alan Walker",https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
36,Luft,Lucio101,https://open.spotify.com/track/6ruutN8MvN94yb5pNGIkwL
37,Elements,Joyhauser,https://open.spotify.com/track/0C6aMqg0IlMqSNTxpmRbko
38,"Close Your Eyes","Felix Jaehn",https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
39,Dior,"Pop Smoke",https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
40,"everything i wanted","Billie Eilish",https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
41,T-Shirt,KASIMIR1441,https://open.spotify.com/track/2ysuyHrDnmlJexX7Mfh2J1
42,Alien,RIN,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
43,"Against The Rest","Twisted Harmonies",https://open.spotify.com/track/6IPkf3kASYGkgeHuvxRMXO
44,Problems,DeathbyRomy,https://open.spotify.com/track/5fgHQws1Cj6KDLQmlqM6lF
45,Dosenbier,"Stefan Rauch",https://open.spotify.com/track/02zpZDk6pHfNPLPMd3EJrp
46,"No Idea","Don Toliver",https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
47,"Ayy Macarena",Tyga,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
48,"Sigues Con El","Dímelo Flow",https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
49,ROXANNE,"Arizona Zervas",https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
50,"KEIN SCHLAF",Nimo,https://open.spotify.com/track/1B89LtaW92jj4AqT7OZ0Fj
1,"The Box","Roddy Ricch",https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,Sandmann,"le Shuuk",https://open.spotify.com/track/7AO4SbDUqGQ3vY6SQYEFRZ
3,"Breaking Me",Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
4,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
5,CASINO,"Katja Krasavice",https://open.spotify.com/track/5rywC2PH49hTpJLXxwGlpE
6,Zirkus,badmómzjay,https://open.spotify.com/track/0Bb93NZgfJ8PfPH4xf2MBP
7,Psycho!,MASN,https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
8,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
9,Opaul,"Freddie Dredd",https://open.spotify.com/track/4areFtLMjGt4GmO4IAbGo0
10,Blockparty,Symba,https://open.spotify.com/track/1MkDGQvM8CRrMIcHxjTni5
11,"You Broke My Heart Again",Teqkoi,https://open.spotify.com/track/3jZDWsoxRHzzp3DYV8qeXE
12,Egal,"Michael Wendler",https://open.spotify.com/track/7rjW2CVIOmmQ7U5CGiZcnG
