Position,"Track Name",Artist,Streams,URL
58,"El Efecto - Remix","Rauw Alejandro",86638,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
59,Gris,"J Balvin",85178,https://open.spotify.com/track/1syf62zw48zu4FrPwMtDHk
60,Locura,"Cali Y El Dandee",85041,https://open.spotify.com/track/5379uuUPHodsdVhy8pIAAr
61,MAMACITA,"Black Eyed Peas",83421,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
62,"Sigues Con El - Remix",Arcangel,82976,https://open.spotify.com/track/4Pu0a2TuHOYtI4CCE3HEXI
63,"Que Se Joda","Anuel AA",82902,https://open.spotify.com/track/5p3JJehpKHjr9pJT5eD2Lz
64,"Don't Start Now","Dua Lipa",82854,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
65,+,Aitana,82524,https://open.spotify.com/track/5Cbo7oz78gqkzV3EAM63VA
66,"La Bebe - Remix","Anuel AA",82434,https://open.spotify.com/track/3DyiAk1BzIF8rq9rimypG4
67,"Sueño (con Pablo Alborán)",Beret,77759,https://open.spotify.com/track/71M1szVbVYZM5M6QlIm6aC
68,Confía,Sech,77047,https://open.spotify.com/track/5kbps8unnGH4raN5WduZuq
69,Muévelo,"Nicky Jam",75068,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
70,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,74485,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
71,"Bajo La Mesa",Morat,74305,https://open.spotify.com/track/7BEPdOI0neT6p7PnLViqmH
72,DOSIS,Dvicio,72920,https://open.spotify.com/track/0AJKRuWjsVn6B43gm5HfjV
73,"Si por mi fuera",Beret,72710,https://open.spotify.com/track/3W87IIdSOE63W0Qyhy7r2b
74,"RITMO (Bad Boys For Life)","Black Eyed Peas",72306,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
75,"Me Gusta",Shakira,71918,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
76,TBT,"Sebastian Yatra",71649,https://open.spotify.com/track/4s45VgkknMFkdiGoUcjxQU
77,Bobo,Morad,71210,https://open.spotify.com/track/4zQIamp851N57SyWqAYcZR
78,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,70748,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
79,"BYE ME FUI","Bad Bunny",70197,https://open.spotify.com/track/0FktnzDqjClqU6iqOZVEs2
80,"Rueda - Remix",Chimbala,69618,https://open.spotify.com/track/3EWxpqOSP0KWgUmRiklqGy
81,Flamenkito,Lérica,69181,https://open.spotify.com/track/4fsj5oMLYrCUlTDs4P9qw5
82,Ignorantes,"Bad Bunny",68203,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
83,"Indios y Vaqueros",Sinsinati,67253,https://open.spotify.com/track/3u5GmyJP2MU3tEJgyiAG2T
84,Azul,"J Balvin",67210,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
85,Ferrari,"Anuel AA",67163,https://open.spotify.com/track/4mbb7hmfDR6M9cQaLdYSFd
86,"Somo o No Somos","Anuel AA",67049,https://open.spotify.com/track/3YeImruYgPnQtn4QgHqi04
87,Medusa,"Jhay Cortez",66989,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
88,Keii,"Anuel AA",66400,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
89,"Toosie Slide",Drake,65458,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
90,"ily (i love you baby) (feat. Emilee)","Surf Mesa",64650,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
91,"Quédate conmigo",Pole.,64502,https://open.spotify.com/track/5tzOL69W6lCp4gAomIXMnJ
92,"Antes y Después","Anuel AA",63382,https://open.spotify.com/track/0YbXuCsQwrsh5x0hgnED6z
93,"Loco - Remix",Farruko,63116,https://open.spotify.com/track/6nGM44ZP7vSo0istUW2MOq
94,"Gracias a Diosito",Rvfv,63100,https://open.spotify.com/track/6DBrjC8T0cfJktCmosS44w
95,"Me Vale","Miki Núñez",63063,https://open.spotify.com/track/2ptZxf0K480OMZbODKZhVC
96,Colocao,"Nicki Nicole",62179,https://open.spotify.com/track/7MCFjPDImfjQv7GynHgVrR
97,Indeciso,Reik,62164,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
98,"De Tranquilote","Danny Romero",62064,https://open.spotify.com/track/1IDFcb3cjkj2dhv3UaxX9b
99,"CANCIÓN CON YANDEL",Yandel,60966,https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R
100,"Cuando Éramos Dos",Sinsinati,60858,https://open.spotify.com/track/1sPw28uimhBPPvxpwmfljV
101,"Before You Go","Lewis Capaldi",60695,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
102,"Una Foto en Blanco y Negro","David Otero",60170,https://open.spotify.com/track/4BNqM0h2wukiQkAUKZjurV
103,Bailemos,"Dani Fernández",59288,https://open.spotify.com/track/5EnaxC9amhXY55ezw87SL8
104,Blanco,"J Balvin",58137,https://open.spotify.com/track/5pXy29xzxR3aTB0SYRI590
105,"Si Veo a Tu Mamá","Bad Bunny",56531,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
106,"A Dónde Vamos",Morat,56298,https://open.spotify.com/track/671sG3ETDxC3L6qcGIrHRM
107,"Yo x Ti, Tu x Mi",ROSALÍA,55927,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
108,"Soldadito de Hierro","Nil Moliner",55721,https://open.spotify.com/track/1wWSi1N5mBif8926JR78Ju
109,goosebumps,"Travis Scott",55522,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
110,Rutina,"Myke Towers",55077,https://open.spotify.com/track/3YntiCUU0Xqq0B68FM3YAt
111,"Contando Lunares (feat. Cruz Cafuné)","Don Patricio",55043,https://open.spotify.com/track/6uW0PIRcyZLvkoonm763xD
112,"El Problema","Anuel AA",54743,https://open.spotify.com/track/6cyH3OGfKQBevSYxJFIUCx
113,"Fuera De Mi Mente",Lérica,54410,https://open.spotify.com/track/7bsqRe39lKOYX45FZpzP9o
114,"Qué Bonito Es Querer","Manuel Carrasco",54265,https://open.spotify.com/track/6uzGmmQ4CuG9HvZktEy0LF
115,Physical,"Dua Lipa",53659,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
116,"No Me Conoce - Remix","Jhay Cortez",53133,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
117,"Suave - Remix","Jey Blessing",52609,https://open.spotify.com/track/6K7V47wFpfam2aeE893rbL
118,BENDICIONES,"Bad Bunny",52508,https://open.spotify.com/track/2CoMYp2uIKsT09nreEZnZn
119,"Pa toda la vida (feat. Mozart La Para)","Don Patricio",52358,https://open.spotify.com/track/6DDb7XRNUzeHmSoTbw5nmm
120,4K,"El Alfa",52343,https://open.spotify.com/track/4xI3U4sDj1TPmO9Iz5TkYp
121,"Hasta el amanecer","Natos y Waor",52232,https://open.spotify.com/track/05WcYNSHMxuM7ryv5sKIjX
122,"La Santa","Bad Bunny",51261,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
123,Callaita,"Bad Bunny",51090,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
124,"Quiéreme Mientras Se Pueda","Manuel Turizo",51051,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
125,Inolvidable,"Ovy On The Drums",50956,https://open.spotify.com/track/0OTtnwUO8natNWSwdZvXVF
