Fecha,Position,Track_Name,Artist,URL
28/05/2020,3,"Party Girl",StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
28/05/2020,4,Falcon,"Bleak Purdy",https://open.spotify.com/track/4BYwULToH4I36lhfixT4Ec
28/05/2020,5,"Coffin Dance","Music Falcon",https://open.spotify.com/track/50fboiidqkAhrE5dNueFKR
28/05/2020,6,"Cash Out","Bleak Purdy",https://open.spotify.com/track/6rhZJHZa7CzhlT4A4uuvxp
28/05/2020,7,"Play Date","Melanie Martinez",https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
28/05/2020,8,Ryypätään,Raff,https://open.spotify.com/track/1sMJAbLlSD8UgXJ5bpzd6u
28/05/2020,9,"WIE LANG?????????",Dardan,https://open.spotify.com/track/7sMe3DBnBppU4COnQJHRV5
28/05/2020,10,Yoga,645AR,https://open.spotify.com/track/2DiybJZJGXyV1UYmngo3eq
28/05/2020,11,"Laxed – Siren Beat","Jawsh 685",https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
28/05/2020,12,"Penelope (feat. Clever)",william,https://open.spotify.com/track/4NVHhia6yRB4RsRTlpzsz3
28/05/2020,13,August,Intelligency,https://open.spotify.com/track/3ZQ3kDvbNYIZI4uR1qQHII
28/05/2020,14,"Deep End Freestyle","Sleepy Hallow",https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
28/05/2020,15,Superstar,"David Puentez",https://open.spotify.com/track/5gFCFZnV0QTt1YfjY7dJBY
28/05/2020,16,IDGAF,Aataminoppa,https://open.spotify.com/track/2rAKjSKVZcYco3sWTQvZ2t
28/05/2020,17,Vanki,Ikirouta,https://open.spotify.com/track/4tn2N530PmKWZxW3qJvMMV
28/05/2020,18,"Banana (feat. Shaggy)",Conkarah,https://open.spotify.com/track/6ON9qDoT2beR9dQ0evOOj1
28/05/2020,19,"IDK You Yet","Alexander 23",https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d
28/05/2020,20,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
28/05/2020,21,"Tässäkö tää oli? (feat. Leavings-Orkesteri)","Arttu Wiskari",https://open.spotify.com/track/3DxOpRtAzmGviFnsn0aM8m
28/05/2020,22,"Fishy on Me","Dr. Sus",https://open.spotify.com/track/1k6GEdfONk9Fs6JgrC8aBN
28/05/2020,23,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
28/05/2020,24,"Du är vad du är (2020)","Musikalen Hype",https://open.spotify.com/track/1pojR5Tx0OdQIc6OOAe7he
28/05/2020,25,50//50,Vantage,https://open.spotify.com/track/36lNDeaRf8F8aYaP0zaHpm
28/05/2020,26,Astronomia,Vicetone,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
28/05/2020,27,"Rakastan elämää","Petrus Schroderus",https://open.spotify.com/track/3jR39eM4EV3W4yLnfgJh4O
28/05/2020,28,Rockstar,ARMAN,https://open.spotify.com/track/1NQS8aq06LI8LiYpcXToYs
28/05/2020,29,"THE SCOTTS","THE SCOTTS",https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
28/05/2020,30,"Think About Things","Daði Freyr",https://open.spotify.com/track/2iRniYXjMHKmwXqA2jYXP7
28/05/2020,31,"Somebody's Watching Me","Chico Rose",https://open.spotify.com/track/3vrm4dNThrhQ0BArrLIUOV
28/05/2020,32,Mielenvika,Eteläranta,https://open.spotify.com/track/5S1SYsHHNhKahZsjHez6P1
28/05/2020,33,100%,"Keko Salata",https://open.spotify.com/track/6WVeP76nOIPfbGN67aJ2Pq
28/05/2020,34,"I Like Him","Princess Nokia",https://open.spotify.com/track/68UU9oaQtMDnh6PRlW842H
28/05/2020,35,"Coño (feat. Jhorrmountain x Adje)",Puri,https://open.spotify.com/track/5EJZNof8hSELOY73el18RM
28/05/2020,36,"Sykepleierinnen (Sykehuset 2020)","El Papi",https://open.spotify.com/track/0OdiOUBYdTUuw4aMGr1oqP
28/05/2020,37,LMK,"Lil Xxel",https://open.spotify.com/track/4s0hDz7zGgZUav9EvzyLsB
28/05/2020,38,"Kesäxi rapakuntoon","Bat & Ryyd",https://open.spotify.com/track/6iCROUZnz2AT8OgYfSa0Ff
28/05/2020,39,"Address It","LPB Poody",https://open.spotify.com/track/1FgPyHX7HruKDL4Tx4MeZB
28/05/2020,40,"Summer Nights",LILBRO,https://open.spotify.com/track/4gZksu67OsYmuHYGGMgPkC
28/05/2020,41,"Rover (feat. DTG)",S1mba,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
28/05/2020,42,"I'm Just Feelin' (Du Du Du)",Imanbek,https://open.spotify.com/track/73ThEGwF5i9GrsXXGyZBRa
28/05/2020,43,"Зын Зын",Zhonti,https://open.spotify.com/track/1SL9uxpEbVvCeEFCmdLkhQ
28/05/2020,44,Somebody,Dagny,https://open.spotify.com/track/5ZBKXaiKksaMq07XSnyOQ4
28/05/2020,45,Outsider,"Veil Of Maya",https://open.spotify.com/track/2UJ7e55bObCYCqpBkehnsr
28/05/2020,46,Outlawz,"Terror Reid",https://open.spotify.com/track/0wMBON83H9bcRTTWhprziY
28/05/2020,47,"Suurempi voima","Mikko Leppilampi",https://open.spotify.com/track/3EENezdlSzp2VoUpoKSEIt
28/05/2020,48,EI,Ina,https://open.spotify.com/track/0TvvRl13syy2Lbs8RLRMtc
28/05/2020,49,"Be Kind (with Halsey)",Marshmello,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
28/05/2020,50,"One More Night",Milos,https://open.spotify.com/track/11ZoqTPkTgngprODZuxgOv
21/05/2020,1,"Судно (Борис Рижий)","Molchat Doma",https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
21/05/2020,2,"Times We Had",Barlito,https://open.spotify.com/track/0taGy8aBzOXCLdPwbPykpz
21/05/2020,3,"Party Girl",StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
21/05/2020,4,August,Intelligency,https://open.spotify.com/track/3ZQ3kDvbNYIZI4uR1qQHII
21/05/2020,5,"Coffin Dance","Music Falcon",https://open.spotify.com/track/50fboiidqkAhrE5dNueFKR
21/05/2020,6,"Uskollinen ystävä","Konsta Hietanen",https://open.spotify.com/track/2jPK3jGV0m1POqIuMum2GN
21/05/2020,7,"THE SCOTTS","THE SCOTTS",https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
21/05/2020,8,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
21/05/2020,9,"Rakastan elämää","Petrus Schroderus",https://open.spotify.com/track/3jR39eM4EV3W4yLnfgJh4O
21/05/2020,10,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
21/05/2020,11,100%,"Keko Salata",https://open.spotify.com/track/6WVeP76nOIPfbGN67aJ2Pq
21/05/2020,12,Cleopatra,Efendi,https://open.spotify.com/track/6Rt5DJgi7E2wETXueJF0XM
21/05/2020,13,"Ruthless (Nice Guys Always Finish Last)","MarMar Oso",https://open.spotify.com/track/6HeCk6yewXH7WO4D93eub9
21/05/2020,14,Hyvännäköinen,"Jonna Tervomaa",https://open.spotify.com/track/1rsU7CQJZi6XwbdEIWruU4
21/05/2020,15,"Laxed – Siren Beat","Jawsh 685",https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
21/05/2020,16,"Kesäxi rapakuntoon","Bat & Ryyd",https://open.spotify.com/track/6iCROUZnz2AT8OgYfSa0Ff
21/05/2020,17,"Banana (feat. Shaggy)",Conkarah,https://open.spotify.com/track/6ON9qDoT2beR9dQ0evOOj1
21/05/2020,18,50//50,Vantage,https://open.spotify.com/track/36lNDeaRf8F8aYaP0zaHpm
21/05/2020,19,"Rover (feat. DTG)",S1mba,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
21/05/2020,20,"Penelope (feat. Clever)",william,https://open.spotify.com/track/4NVHhia6yRB4RsRTlpzsz3
21/05/2020,21,"Play Date","Melanie Martinez",https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
21/05/2020,22,"New Dens",Mauton,https://open.spotify.com/track/3j5BO6DuCQLCHxHzWjOrDE
21/05/2020,23,Yoga,645AR,https://open.spotify.com/track/2DiybJZJGXyV1UYmngo3eq
21/05/2020,24,Astronomia,Vicetone,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
21/05/2020,25,Outlawz,"Terror Reid",https://open.spotify.com/track/0wMBON83H9bcRTTWhprziY
21/05/2020,26,"Address It","LPB Poody",https://open.spotify.com/track/1FgPyHX7HruKDL4Tx4MeZB
21/05/2020,27,"Päivätöikseni susta tykkään","Lassi Viljanen",https://open.spotify.com/track/3fSPmq0rrAU3vJCgc2LRBk
21/05/2020,28,"Tässäkö tää oli? (feat. Leavings-Orkesteri)","Arttu Wiskari",https://open.spotify.com/track/3DxOpRtAzmGviFnsn0aM8m
21/05/2020,29,Mielenvika,Eteläranta,https://open.spotify.com/track/5S1SYsHHNhKahZsjHez6P1
21/05/2020,30,"Fall from the Sky","Arilena Ara",https://open.spotify.com/track/0Y6JVcxzdXaNwHROjoyuww
21/05/2020,31,"Jeesus II","Jumal X10 Lavis",https://open.spotify.com/track/7Fvp99xpmhujw3UiVyMJP1
21/05/2020,32,"Naisten kaljailta","Eija Sinikka",https://open.spotify.com/track/1wCGctqepYgWEN0NescTj5
21/05/2020,33,"On Fire","THE ROOP",https://open.spotify.com/track/5TXxwRgdIS4gPjUtKwTuSb
