Position,"Track Name",Artist,Streams,URL
91,HALLO,Isah,13601,https://open.spotify.com/track/1WjLQsbfei4kk9OaVxtfIB
92,Freedom,Kygo,13502,https://open.spotify.com/track/2nx0EIlIKMnMgWnj40O0HQ
93,"Rover (feat. DTG)",S1mba,13437,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
94,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",13221,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
95,Control,"Zoe Wees",13120,https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t
96,"Intentions (feat. Quavo)","Justin Bieber",13076,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
97,"Who's Gonna Love You","Emilie Nicolas",12998,https://open.spotify.com/track/5xJLP4z6AiUqeNIGTedB2M
98,ROXANNE,"Arizona Zervas",12993,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
99,"Adore You","Harry Styles",12976,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
100,"Think About Things","Daði Freyr",12949,https://open.spotify.com/track/2iRniYXjMHKmwXqA2jYXP7
101,"Break It Right","Emelie Hollow",12846,https://open.spotify.com/track/2ggaQJV9jcN2dJt8BMV4SD
102,"SICKO MODE","Travis Scott",12717,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
103,"Black Converse",LOVA,12693,https://open.spotify.com/track/0NbDnRbBxUaT27CTgmraSG
104,"I Do","Astrid S",12692,https://open.spotify.com/track/6yKkgZBuakFy6SPtsZBR5H
105,"Lay By Me",Ruben,12686,https://open.spotify.com/track/5xQ1yxKzTuPcSNO9FP0lNS
106,"TKN (feat. Travis Scott)",ROSALÍA,12669,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
107,"BlimE - Mer Enn God Nok","Stina Talling",12454,https://open.spotify.com/track/2Sk1QwXo0FMb8kwWahCSMW
108,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,12401,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
109,"Jag Vil Ha Dig",Ringnes-Ronny,12368,https://open.spotify.com/track/0IiWe6NRNBB7QbrCcgUCZX
110,"Life Is Good (feat. Drake)",Future,12296,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
111,Selfish,"Madison Beer",12222,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH
112,"Se meg","Adrian Sellevoll",12179,https://open.spotify.com/track/2odnYW0idRCUyT5dnbnixO
113,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",12102,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
114,"Chicago Freestyle (feat. Giveon)",Drake,12075,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
115,"If I Call","Emilie Nicolas",11977,https://open.spotify.com/track/59Dee3aD048oj3MDsFKpYo
116,Skechers,DripReport,11905,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
117,"Jocelyn Flores",XXXTENTACION,11827,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
